# Wavelength(nm) T fR bR
2100 0.0969 0.8542 0.8117
2105 0.0980 0.8547 0.8370
2110 0.0907 0.8552 0.7249
2115 0.0890 0.8556 0.7053
2120 0.0934 0.8561 0.7826
2125 0.0900 0.8566 0.7339
2130 0.0826 0.8570 0.6248
2135 0.0848 0.8575 0.6646
2140 0.0906 0.8579 0.7667
2145 0.0875 0.8584 0.7215
2150 0.0834 0.8588 0.6612
2155 0.0865 0.8593 0.7192
2160 0.0890 0.8597 0.7684
2165 0.0851 0.8601 0.7091
2170 0.0840 0.8606 0.6973
2175 0.0891 0.8610 0.7922
2180 0.0889 0.8614 0.7958
2185 0.0825 0.8619 0.6923
2190 0.0826 0.8623 0.7002
2195 0.0887 0.8627 0.8151
2200 0.0890 0.8631 0.8288
2205 0.0835 0.8635 0.7354
2210 0.0829 0.8640 0.7326
2215 0.0872 0.8644 0.8167
2220 0.0855 0.8648 0.7925
2225 0.0787 0.8652 0.6783
2230 0.0773 0.8656 0.6607
2235 0.0806 0.8660 0.7250
2240 0.0790 0.8664 0.7021
2245 0.0733 0.8668 0.6105
2250 0.0720 0.8672 0.5951
2255 0.0746 0.8676 0.6444
2260 0.0741 0.8679 0.6418
2265 0.0705 0.8683 0.5861
2270 0.0696 0.8687 0.5765
2275 0.0735 0.8691 0.6486
2280 0.0750 0.8695 0.6803
2285 0.0712 0.8698 0.6199
2290 0.0690 0.8702 0.5860
2295 0.0717 0.8706 0.6394
2300 0.0738 0.8710 0.6830
2305 0.0703 0.8713 0.6254
2310 0.0667 0.8717 0.5674
2315 0.0683 0.8720 0.6014
2320 0.0710 0.8724 0.6541
2325 0.0686 0.8728 0.6163
2330 0.0635 0.8731 0.5329
2335 0.0625 0.8735 0.5211
2340 0.0662 0.8738 0.5899
2345 0.0685 0.8742 0.6377
2350 0.0663 0.8745 0.6017
2355 0.0638 0.8748 0.5627
2360 0.0648 0.8752 0.5852
2365 0.0677 0.8755 0.6432
2370 0.0674 0.8759 0.6434
2375 0.0643 0.8762 0.5916
2380 0.0632 0.8765 0.5763
2385 0.0656 0.8769 0.6251
2390 0.0670 0.8772 0.6593
2395 0.0649 0.8775 0.6227
2400 0.0623 0.8778 0.5786
2405 0.0629 0.8782 0.5958
2410 0.0656 0.8785 0.6529
2415 0.0657 0.8788 0.6606
2420 0.0628 0.8791 0.6093
2425 0.0608 0.8794 0.5755
2430 0.0614 0.8798 0.5926
2435 0.0613 0.8801 0.5943
2440 0.0573 0.8804 0.5241
2445 0.0515 0.8807 0.4264
2450 0.0509 0.8810 0.4205
2455 0.0555 0.8813 0.5034
2460 0.0603 0.8816 0.5996
2465 0.0616 0.8819 0.6303
2470 0.0606 0.8822 0.6159
2475 0.0606 0.8825 0.6205
