wl	n	k
1746.6000000	1.9751459	0.0002243
1751.6000000	1.9749917	0.0002197
1756.6000000	1.9748392	0.0002152
1761.6000000	1.9746883	0.0002108
1766.6000000	1.9745389	0.0002066
1771.6000000	1.9743910	0.0002024
1776.6000000	1.9742447	0.0001984
1781.6000000	1.9740999	0.0001944
1786.6000000	1.9739566	0.0001906
1791.6000000	1.9738148	0.0001869
1796.6000000	1.9736745	0.0001832
1801.6000000	1.9735356	0.0001797
1806.6000000	1.9733982	0.0001763
1811.6000000	1.9732621	0.0001729
1816.6000000	1.9731275	0.0001697
1821.6000000	1.9729943	0.0001665
1826.6000000	1.9728625	0.0001634
1831.6000000	1.9727320	0.0001604
1836.6000000	1.9726029	0.0001575
1841.6000000	1.9724752	0.0001547
1846.6000000	1.9723487	0.0001519
1851.6000000	1.9722236	0.0001492
1856.6000000	1.9720997	0.0001466
1861.6000000	1.9719772	0.0001441
1866.6000000	1.9718559	0.0001416
1871.6000000	1.9717359	0.0001392
1876.6000000	1.9716171	0.0001368
1881.6000000	1.9714996	0.0001345
1886.6000000	1.9713832	0.0001323
1891.6000000	1.9712681	0.0001302
1896.6000000	1.9711542	0.0001280
1901.6000000	1.9710414	0.0001260
1906.6000000	1.9709298	0.0001240
1911.6000000	1.9708194	0.0001221
1916.6000000	1.9707101	0.0001202
1921.6000000	1.9706020	0.0001183
1926.6000000	1.9704950	0.0001166
1931.6000000	1.9703891	0.0001148
1936.6000000	1.9702842	0.0001131
1941.6000000	1.9701805	0.0001115
1946.6000000	1.9700779	0.0001099
1951.6000000	1.9699763	0.0001083
1956.6000000	1.9698757	0.0001068
1961.6000000	1.9697762	0.0001053
1966.6000000	1.9696778	0.0001039
1971.6000000	1.9695803	0.0001025
1976.6000000	1.9694839	0.0001011
1981.6000000	1.9693885	0.0000998
1986.6000000	1.9692940	0.0000985
1991.6000000	1.9692006	0.0000972
1996.6000000	1.9691081	0.0000960
2001.6000000	1.9690165	0.0000948
2006.6000000	1.9689260	0.0000937
2011.6000000	1.9688363	0.0000925
2016.6000000	1.9687476	0.0000914
2021.6000000	1.9686598	0.0000904
2026.6000000	1.9685729	0.0000893
2031.6000000	1.9684869	0.0000883
2036.6000000	1.9684018	0.0000873
2041.6000000	1.9683176	0.0000864
2046.6000000	1.9682343	0.0000855
2051.6000000	1.9681518	0.0000845
2056.6000000	1.9680702	0.0000837
2061.6000000	1.9679894	0.0000828
2066.6000000	1.9679095	0.0000820
2071.6000000	1.9678304	0.0000812
2076.6000000	1.9677521	0.0000804
2081.6000000	1.9676746	0.0000796
2086.6000000	1.9675979	0.0000788
2091.6000000	1.9675221	0.0000781
2096.6000000	1.9674470	0.0000774
2101.6000000	1.9673727	0.0000767
2106.6000000	1.9672991	0.0000760
2111.6000000	1.9672263	0.0000754
2116.6000000	1.9671543	0.0000748
2121.6000000	1.9670830	0.0000741
2126.6000000	1.9670125	0.0000735
2131.6000000	1.9669427	0.0000729
2136.6000000	1.9668736	0.0000724
2141.6000000	1.9668053	0.0000718
2146.6000000	1.9667376	0.0000713
2151.6000000	1.9666706	0.0000708
2156.6000000	1.9666044	0.0000702
2161.6000000	1.9665388	0.0000697
2166.6000000	1.9664739	0.0000693
2171.6000000	1.9664097	0.0000688
2176.6000000	1.9663461	0.0000683
2181.6000000	1.9662832	0.0000679
2186.6000000	1.9662210	0.0000674
2191.6000000	1.9661594	0.0000670
2196.6000000	1.9660984	0.0000666
2201.6000000	1.9660381	0.0000662
2206.6000000	1.9659784	0.0000658
2211.6000000	1.9659193	0.0000654
2216.6000000	1.9658608	0.0000651
2221.6000000	1.9658030	0.0000647
2226.6000000	1.9657457	0.0000644
2231.6000000	1.9656890	0.0000640
2236.6000000	1.9656330	0.0000637
2241.6000000	1.9655775	0.0000634
2246.6000000	1.9655225	0.0000631
2251.6000000	1.9654682	0.0000627
2256.6000000	1.9654144	0.0000624
2261.6000000	1.9653611	0.0000622
2266.6000000	1.9653085	0.0000619
2271.6000000	1.9652563	0.0000616
2276.6000000	1.9652047	0.0000613
2281.6000000	1.9651537	0.0000611
2286.6000000	1.9651031	0.0000608
2291.6000000	1.9650531	0.0000606
2296.6000000	1.9650036	0.0000603
2301.6000000	1.9649546	0.0000601
2306.6000000	1.9649062	0.0000599
2311.6000000	1.9648582	0.0000597
2316.6000000	1.9648107	0.0000594
2321.6000000	1.9647638	0.0000592
2326.6000000	1.9647173	0.0000590
2331.6000000	1.9646713	0.0000588
2336.6000000	1.9646257	0.0000586
2341.6000000	1.9645807	0.0000585
2346.6000000	1.9645361	0.0000583
2351.6000000	1.9644919	0.0000581
2356.6000000	1.9644483	0.0000579
2361.6000000	1.9644051	0.0000578
2366.6000000	1.9643623	0.0000576
2371.6000000	1.9643200	0.0000574
2376.6000000	1.9642781	0.0000573
2381.6000000	1.9642366	0.0000571
2386.6000000	1.9641956	0.0000570
2391.6000000	1.9641550	0.0000568
2396.6000000	1.9641148	0.0000567
2401.6000000	1.9640751	0.0000566
2406.6000000	1.9640357	0.0000564
2411.6000000	1.9639968	0.0000563
2416.6000000	1.9639582	0.0000562
2421.6000000	1.9639201	0.0000561
2426.6000000	1.9638823	0.0000559
2431.6000000	1.9638450	0.0000558
2436.6000000	1.9638080	0.0000557
2441.6000000	1.9637714	0.0000556
2446.6000000	1.9637352	0.0000555
2451.6000000	1.9636994	0.0000554
2456.6000000	1.9636640	0.0000553
2461.6000000	1.9636289	0.0000552
2466.6000000	1.9635942	0.0000551
2471.6000000	1.9635598	0.0000550
2476.6000000	1.9635258	0.0000549
2481.6000000	1.9634921	0.0000548
2486.6000000	1.9634588	0.0000548
2491.6000000	1.9634259	0.0000547
2496.6000000	1.9633932	0.0000546
2501.6000000	1.9633610	0.0000545
2506.6000000	1.9633290	0.0000544
2511.6000000	1.9632974	0.0000544
2516.6000000	1.9632661	0.0000543
2521.6000000	1.9632352	0.0000542
2526.6000000	1.9632045	0.0000541
2531.6000000	1.9631742	0.0000541
2536.6000000	1.9631442	0.0000540
2541.6000000	1.9631145	0.0000540
2546.6000000	1.9630851	0.0000539
2551.6000000	1.9630560	0.0000538
2556.6000000	1.9630272	0.0000538
2561.6000000	1.9629987	0.0000537
2566.6000000	1.9629705	0.0000537
2571.6000000	1.9629426	0.0000536
2576.6000000	1.9629150	0.0000536
2581.6000000	1.9628877	0.0000535
2586.6000000	1.9628607	0.0000535
2591.6000000	1.9628339	0.0000534
2596.6000000	1.9628074	0.0000534
