# Wavelength(nm) T fR bR
2260 0.0039 0.9630 0.8896
2265 0.0039 0.9630 0.8933
2270 0.0039 0.9631 0.8934
2275 0.0039 0.9632 0.8934
2280 0.0039 0.9632 0.8971
2285 0.0039 0.9633 0.8954
2290 0.0038 0.9633 0.8973
2295 0.0038 0.9634 0.8973
2300 0.0038 0.9634 0.8938
2305 0.0038 0.9635 0.8938
2310 0.0038 0.9636 0.8957
2315 0.0037 0.9636 0.8939
2320 0.0037 0.9637 0.8904
2325 0.0037 0.9637 0.8941
2330 0.0037 0.9638 0.8959
2335 0.0036 0.9638 0.8905
2340 0.0036 0.9639 0.8888
2345 0.0036 0.9639 0.8870
2350 0.0036 0.9640 0.8889
2355 0.0036 0.9640 0.8926
2360 0.0035 0.9641 0.8908
2365 0.0035 0.9641 0.8891
2370 0.0035 0.9642 0.8855
2375 0.0035 0.9642 0.8838
2380 0.0035 0.9643 0.8802
2385 0.0034 0.9643 0.8803
2390 0.0034 0.9644 0.8785
2395 0.0034 0.9644 0.8766
2400 0.0034 0.9645 0.8730
2405 0.0033 0.9645 0.8695
2410 0.0033 0.9646 0.8624
2415 0.0033 0.9646 0.8678
2420 0.0033 0.9647 0.8679
2425 0.0033 0.9647 0.8679
2430 0.0033 0.9648 0.8662
2435 0.0032 0.9648 0.8609
2440 0.0032 0.9648 0.8592
2445 0.0032 0.9649 0.8539
2450 0.0032 0.9649 0.8575
2455 0.0031 0.9650 0.8504
2460 0.0031 0.9650 0.8523
2465 0.0031 0.9651 0.8505
2470 0.0031 0.9651 0.8523
2475 0.0031 0.9652 0.8471
