SCC Single Stack - Ag 11nm - AlN 43nm					
	Transmittance	Reflectance	AM 1.5		42
1625	11.775637	80.826786	1.62E+01	2.31E-01	
1630	11.701027	80.874047	1.61E+01	2.30E-01	
1635	11.628119	80.935187	1.60E+01	2.27E-01	
1640	11.554238	80.97002	1.47E+01	2.09E-01	
1645	11.486889	81.080463	1.49E+01	2.12E-01	
1650	11.418314	81.16717	1.54E+01	2.19E-01	
1655	11.349741	81.221974	1.52E+01	2.16E-01	
1660	11.270627	81.301554	1.53E+01	2.17E-01	
1665	11.202883	81.386314	1.45E+01	2.06E-01	
1670	11.136585	81.396933	1.52E+01	2.16E-01	
1675	11.06521	81.457975	1.46E+01	2.08E-01	
1680	11.006781	81.532008	1.41E+01	2.00E-01	
1685	10.93703	81.60568	1.46E+01	2.08E-01	
1690	10.871284	81.647069	1.40E+01	2.00E-01	
1695	10.803212	81.695864	1.43E+01	2.04E-01	
1700	10.733153	81.818905	1.37E+01	1.95E-01	
1705	10.669144	81.853131	1.35E+01	1.93E-01	
1710	10.603409	81.926465	1.29E+01	1.83E-01	
1715	10.550268	81.972641	1.30E+01	1.85E-01	
1720	10.487568	82.063111	1.28E+01	1.82E-01	
1725	10.417536	82.158631	1.22E+01	1.74E-01	
1730	10.361137	82.222942	1.19E+01	1.70E-01	
1735	10.298787	82.301141	1.11E+01	1.58E-01	
1740	10.233773	82.357501	1.15E+01	1.64E-01	
1745	10.17423	82.406131	1.06E+01	1.51E-01	
1750	10.116489	82.454538	1.14E+01	1.62E-01	
1755	10.056427	82.494057	1.05E+01	1.49E-01	
1760	10.000164	82.547287	1.10E+01	1.56E-01	
1765	9.939923	82.614375	9.11E+00	1.30E-01	
1770	9.882071	82.704361	9.71E+00	1.38E-01	
1775	9.82766	82.757446	7.88E+00	1.12E-01	
1780	9.765147	82.77981	6.89E+00	9.81E-02	
1785	9.70843	82.815278	5.28E+00	7.52E-02	
1790	9.663801	82.906336	6.10E+00	8.68E-02	
1795	9.608507	82.984778	3.22E+00	4.59E-02	
1800	9.562177	83.016553	2.19E+00	3.11E-02	
1805	9.510888	83.113667	1.02E+00	1.45E-02	
1810	9.463104	83.175594	6.66E-01	9.48E-03	
1815	9.405571	83.185364	2.25E-01	3.21E-03	
1820	9.354905	83.213879	6.78E-02	9.66E-04	
1825	9.305216	83.259255	8.75E-02	1.25E-03	
1830	9.247785	83.342138	3.57E-04	5.09E-06	
1835	9.185934	83.403268	4.41E-04	6.28E-06	
1840	9.128386	83.383862	4.31E-06	6.13E-08	
1845	9.066753	83.400489	4.31E-04	6.13E-06	
1850	9.018013	83.490583	2.06E-04	2.93E-06	
1855	8.982785	83.543467	1.95E-05	2.78E-07	
1860	8.941016	83.576078	7.67E-04	1.09E-05	
1865	8.898592	83.628489	1.17E-03	1.66E-05	
1870	8.836934	83.599843	1.84E-08	2.61E-10	
1875	8.766678	83.596506	3.11E-08	4.43E-10	
1880	8.718275	83.664118	5.35E-03	7.61E-05	
1885	8.67083	83.80905	3.03E-03	4.31E-05	
1890	8.651017	83.852638	1.54E-02	2.20E-04	
1895	8.602956	83.870875	8.95E-03	1.27E-04	
1900	8.554143	83.928608	5.96E-05	8.49E-07	
1905	8.509055	83.933203	3.92E-05	5.58E-07	
1910	8.456676	84.024758	1.60E-03	2.27E-05	
1915	8.407844	84.01671	1.38E-03	1.97E-05	
1920	8.369663	84.021689	3.12E-02	4.45E-04	
1925	8.323038	84.103879	6.48E-02	9.23E-04	
1930	8.292379	84.133811	3.83E-02	5.45E-04	
1935	8.250788	84.137525	2.49E-01	3.54E-03	
1940	8.191802	84.193362	2.27E-01	3.24E-03	
1945	8.144352	84.287824	7.52E-01	1.07E-02	
1950	8.100341	84.3196	1.16E+00	1.65E-02	
1955	8.063319	84.370107	6.94E-01	9.89E-03	
1960	8.016535	84.424336	1.51E+00	2.16E-02	
1965	7.979336	84.469821	1.97E+00	2.81E-02	
1970	7.944812	84.545423	3.38E+00	4.81E-02	
1975	7.908478	84.594892	4.69E+00	6.67E-02	
